"Suchbegriff";"Typ";"Etappe";"Name";"Adresse";"Ort";"Bewertung";"Reviews";"Kategorie";"Preis";"Dauer";"Kinderwagen";"Mindestalter";"Info";"Beste Zeit";"Reservierung";"Website";"Lat";"Lng";"Hinweis"
"Boulders Beach Pinguine, Kleintuin Road, Boulders, Simon's Town 7995, Südafrika";"Aktivität";"1 | Kapstadt (4.-8. Okt)";"Boulders Beach Pinguine";"Kleintuin Road, Boulders";"Simon's Town 7995";"4.4";"8660";"Tiere";"R245 Erw. / R120 Kind 2-11 / unter 2 gratis";"45-75 Min";"Ja - Holz-Boardwalk";"keines";"Pinguine watscheln neben dem Steg; der Badestrand daneben ist eine flache, wellenarme Bucht zwischen Granitblöcken";"08:00-09:30, dann weiter";"Nein";"https://www.sanparks.org/parks/table-mountain/rates-entry-fees";"-34.1970";"18.4510";"Kein Schatten auf dem Boardwalk - Hut zwingend. Pinguine beissen, Abstand halten"
"Two Oceans Aquarium, Dock Road, V&A Waterfront, Cape Town 8002, Südafrika";"Aktivität";"1 | Kapstadt (4.-8. Okt)";"Two Oceans Aquarium";"Dock Road, V&A Waterfront";"Cape Town 8002";"4.2";"5410";"Regenwetter / Tiere";"R280 Erw. / R130 Kind 4-13 / unter 4 gratis";"1.5-2 Std";"Ja - komplett stufenlos, Lift";"keines";"Der Schlechtwetter- und Wind-Joker: drinnen, warm, Bänke vor den grossen Scheiben, Touch Pool knietief und beaufsichtigt";"09:30 zur Öffnung, dann ist es leer";"Online empfohlen";"https://www.aquarium.co.za/visit-us/plan-your-trip";"-33.9077";"18.4173";"Toiletten mit Wickeltisch"
"Kirstenbosch + Boomslang, Rhodes Drive, Gate 1, Newlands, Cape Town 7735, Südafrika";"Aktivität";"1 | Kapstadt (4.-8. Okt)";"Kirstenbosch + Boomslang";"Rhodes Drive, Gate 1";"Newlands, Cape Town 7735";"4.7";"10184";"Natur";"ca. R270 Erw. / Kinder unter 6 gratis";"1.5-2.5 Std";"Teilweise - untere Wege ja, Boomslang-Rampe steil";"keines";"Riesige Picknickrasen, viel Baumschatten, Teiche und der Baumwipfelpfad; im Oktober Höhepunkt der Frühlingsblüte";"09:00-11:00";"Nein";"https://www.sanbi.org/gardens/kirstenboch/visitor-information/information/";"-33.9884";"18.4325";"Nur 20 Min. von Hout Bay über Constantia Nek - kürzester Ausflug der Woche"
"Tafelberg-Seilbahn, Tafelberg Road, Lower Cable Station, Cape Town 8001, Südafrika";"Aktivität";"1 | Kapstadt (4.-8. Okt)";"Tafelberg-Seilbahn";"Tafelberg Road, Lower Cable Station";"Cape Town 8001";"4.6";"17613";"Adventure / Natur";"R475 Erw. / R230 Kind 4-17 / unter 4 gratis (online, retour)";"1.5-2 Std";"Oben bedingt - Dassie-Weg befestigt, Gondel voll";"keines";"Vier Minuten Auffahrt, oben flache Rundwege; das Erlebnis ist kurz genug fürs Kind";"Erste Fahrt 08:00-08:30";"Online, dringend";"https://www.tablemountain.net/plan-your-visit/ticket-prices/";"-33.9357";"18.4033";"Am Morgen Betriebsstatus prüfen - bei Wind geschlossen. Oben deutlich kälter, Jacke mitnehmen. Trage statt "
"Green Point Urban Park (Tot-Lot), 1 Fritz Sonnenberg Road, Green Point, Cape Town 8005, Südafrika";"Aktivität";"1 | Kapstadt (4.-8. Okt)";"Green Point Urban Park (Tot-Lot)";"1 Fritz Sonnenberg Road";"Green Point, Cape Town 8005";"4.6";"694";"Spielplatz / Natur";"Gratis";"1-2 Std";"Ja - durchgehend geteert";"Tot-Lot ausdrücklich für 1-6 Jahre";"Eigener Spielplatz für 1-6-Jährige mit Rutschen und Schaukeln, dazu Labyrinth und Biodiversity Garden";"08:30-11:00 oder 15:30-18:00";"Nein";"https://www.capetownmagazine.com/green-point-park";"-33.9060";"18.4113";"Park Café mit Kindermenü; taeglich 07:00-19:00"
"Sea Point Pavilion Kinderbecken, Lower Beach Road, Sea Point, Cape Town 8005, Südafrika";"Aktivität";"1 | Kapstadt (4.-8. Okt)";"Sea Point Pavilion Kinderbecken";"Lower Beach Road";"Sea Point, Cape Town 8005";"4.4";"4609";"Wasser";"R37.50 Erw. / R22 Kind";"1-1.5 Std";"Ja - ebenerdig";"keines";"Eigenes Kinderbecken 11,5 x 28 m und nur 40 cm tief, Rettungsschwimmer im Dienst - die sichere Alternative zum eiskalten Atlantik";"11:00-13:00, wenn die Sonne das flache Becken gewärmt hat";"Nein";"https://www.capetown.travel/beat-the-summer-heat-at-these-cape-town-public-pools/";"-33.9165";"18.3855";"Ungeheiztes Meerwasser - im Oktober kalt, kurze Planschzeit. MONTAGS erst ab 12:00"
"Blue Train Park, Beach Road, beim Leuchtturm, Mouille Point, Cape Town 8005, Südafrika";"Aktivität";"1 | Kapstadt (4.-8. Okt)";"Blue Train Park";"Beach Road, beim Leuchtturm";"Mouille Point, Cape Town 8005";"4.2";"1057";"Spielplatz";"R35 pro Person inkl. einer Zugfahrt / unter 1 Jahr gratis";"1-1.5 Std";"Ja";"keines - Züge sind auf Kinder ausgelegt";"Miniatur-Eisenbahn zum Mitfahren auf eingezäuntem Gelände - das Kind kann nicht auf die Strasse laufen";"10:00-11:30 oder 15:30-17:30";"Nein";"https://thebluetrainpark.co.za/";"-33.8988";"18.4074";"MONTAGS geschlossen (ausser Ferien) - für Mo 5.10. nicht einplanen"
"St James & Dalebrook Gezeitenbecken, St James Beach, Main Road / Dalebrook Road, St James 7945, Südafrika";"Aktivität";"1 | Kapstadt (4.-8. Okt)";"St James & Dalebrook Gezeitenbecken";"St James Beach, Main Road / Dalebrook Road";"St James 7945";"4.2";"141";"Wasser / Strand";"Gratis";"1.5-2 Std";"Eingeschränkt - Bahnunterführung mit Treppe, dann Sand";"keines";"Ummauerte Gezeitenbecken sperren das offene Meer aus: keine Brandung, keine Strömung, teils nur knöcheltief. Die besten Wasserplätze für ein 4-jähriges Kind in Kapstadt";"Zwei Stunden vor Niedrigwasser, 09:30-11:30";"Nein";"https://www.sa-venues.com/things-to-do/westerncape/dip-in-an-ocean-pool/";"-34.1185";"18.4595";"Badeschuhe wegen Algen. Nicht bewacht - Eltern bleiben im Wasser. False Bay ist wärmer als der Atlantik"
"Imhoff Farm + Higgeldy Piggeldy Farmyard, Kommetjie Road (M65), Kommetjie / Ocean View 7975, Südafrika";"Aktivität";"1 | Kapstadt (4.-8. Okt)";"Imhoff Farm + Higgeldy Piggeldy Farmyard";"Kommetjie Road (M65)";"Kommetjie / Ocean View 7975";"4.4";"3839";"Tiere";"Gelände gratis / Streichelzoo R20 p.P.";"1.5-2.5 Std";"Ja - überwiegend befestigt";"keines für den Farmyard";"Streichelgehege, Kamele und Ponys, flaches Farmgelände mit Rasen und mehreren Restaurants";"Vormittags 09:30-12:00";"Nein";"https://www.imhofffarm.co.za";"-34.1385";"18.3620";"ACHTUNG: Streichelzoo nur Mo-Fr 08:00-17:00, am Wochenende zu. Kamelreiten: Mindestalter vorab klären"
"World of Birds & Monkey Park, Valley Road, Hout Bay, Cape Town 7806, Südafrika";"Aktivität";"1 | Kapstadt (4.-8. Okt)";"World of Birds & Monkey Park";"Valley Road";"Hout Bay, Cape Town 7806";"4.4";"5414";"Tiere / Regenwetter";"R145 Erw. / R60 Kind 3-18 / unter 3 gratis";"1.5-2 Std";"Ja - flache Wege, Leihwagen für Gepäck R20";"keines";"Eigener Kinder-Spielplatz mit Sandkasten, viele überdachte Gänge, Wickelmöglichkeit - und nur 10 Min. von eurer Unterkunft";"Ankunft 11:00: Pinguinfütterung 11:30, Monkey Jungle 11:30-13:00";"Nein";"https://worldofbirds.co.za/plan-your-visit/";"-34.0333";"18.3592";"Im Monkey Jungle Kind auf den Arm nehmen - Affen greifen nach Gegenständen. TripAdvisor nur 3.9 wegen Gehegegrössen"
"Duiker Island Robbenfahrt (40 Min.), Hout Bay Harbour, Harbour Road, Hout Bay, Cape Town 7806, Südafrika";"Aktivität";"1 | Kapstadt (4.-8. Okt)";"Duiker Island Robbenfahrt (40 Min.)";"Hout Bay Harbour, Harbour Road";"Hout Bay, Cape Town 7806";"4.3";"222";"Tiere / Adventure";"R130 Erw. / R70 Kind unter 14 / bis 2 Jahre gratis";"40 Min";"Nein - Wagen bleibt am Hafen";"kein formales, Rettungsweste in Kindergrösse vorab erfragen";"Die kürzeste Tierbeobachtungstour der Region - 40 Minuten passen genau in eine Kinder-Aufmerksamkeitsspanne";"Erste Abfahrt 09:00-10:00, dann ist die Bucht ruhig";"Empfohlen";"https://drumbeatcharters.co.za/40-minute-seal-colony-cruise/";"-34.0503";"18.3480";"Keine Toilette an Bord. Bei Wind schaukelt es - dann lieber absagen. 8 Min. von eurer Unterkunft"
"Scratch Patch Simon's Town, 2520 Dido Valley Road, Simon's Town 7975, Südafrika";"Aktivität";"1 | Kapstadt (4.-8. Okt)";"Scratch Patch Simon's Town";"2520 Dido Valley Road";"Simon's Town 7975";"4.3";"85";"Regenwetter";"Eintritt gratis / Steinbeutel ab R40";"45-60 Min";"Ja, ebenerdig";"keines";"Komplett überdacht und windgeschützt - Kinder suchen sich polierte Edelsteine aus einem Steinmeer";"Als Regen- oder Windnotfall nach Boulders Beach (5 Min.)";"Nein";"https://www.scratchpatch.co.za/scratch-patch/";"-34.1830";"18.4325";"0-2 Jahre: die Steine sind mundgerecht - permanente Aufsicht"
"Bay Harbour Market, 31 Harbour Road, Hout Bay, Cape Town 7806, Südafrika";"Aktivität";"1 | Kapstadt (4.-8. Okt)";"Bay Harbour Market";"31 Harbour Road";"Hout Bay, Cape Town 7806";"4.5";"843";"Regenwetter / Essen";"Eintritt gratis";"1-1.5 Std";"Bedingt - enge Gänge, Wickelraum vorhanden";"keines";"Indoor-Markt in einer alten Fischfabrik, komplett überdacht - Glacé, Waffeln, Crêpes";"Mi oder Do 10:00-12:00";"Nein";"https://www.bayharbour.co.za/we-are-open/";"-34.0490";"18.3480";"Mo + Di GESCHLOSSEN. Freitagabend Live-Musik - zu laut für Kinder. 8 Min. von der Unterkunft"
"Oranjezicht City Farm Market, Granger Bay Boulevard, V&A Waterfront, Cape Town 8001, Südafrika";"Aktivität";"1 | Kapstadt (4.-8. Okt)";"Oranjezicht City Farm Market";"Granger Bay Boulevard";"V&A Waterfront, Cape Town 8001";"4.6";"7136";"Essen / Familie";"Eintritt gratis";"1-1.5 Std";"Ja - neuer Standort barrierefrei";"keines";"Überdachte Holzscheune mit Pergolen, ebenerdig und breite Gänge";"So 4.10. um 08:30 direkt zur Öffnung";"Nein";"https://ozcf.co.za/ozcfmarket/";"-33.9022";"18.4157";"Mi 16-21, Sa 8-14, So 8:30-14. Der Mittwochtermin kollidiert mit der Abendroutine"
"Drakenstein Lion Park, Old Paarl Road (R101), Klapmuts 7599, Südafrika";"Aktivität";"2 | Paarl & Winelands (8.-11. Okt)";"Drakenstein Lion Park";"Old Paarl Road (R101)";"Klapmuts 7599";"4.5";"226";"Tiere";"R160 Erw. / R80 Kind (Ausländertarif)";"1-1.5 Std";"Eingeschränkt - Schotter- und Rasenwege";"keines";"Echtes Sanctuary ohne Streicheln; Löwen sind durch Doppelzaun oft nur ein bis zwei Meter entfernt - für Kinder enorm eindrücklich";"09:30-11:00";"Nein";"https://lionrescue.org.za/";"-33.79744";"18.91160";"Wenig Schatten - Hut und Sonnencreme. Picknickbereich vorhanden"
"Exotic Animal World (ex Butterfly World), R44, Klapmuts 7625, Südafrika";"Aktivität";"2 | Paarl & Winelands (8.-11. Okt)";"Exotic Animal World (ex Butterfly World)";"R44";"Klapmuts 7625";"4.2";"4593";"Tiere / Regenwetter";"ca. R150-170 p.P. (unbestätigt)";"1-1.5 Std";"Ja - befestigte Wege";"keines";"Freilaufende Lemuren, Erdmännchen, Ziegen und Enten zum Füttern - und eine überdachte Tropenhalle als einziges Schlechtwetter-Tierangebot der Gegend";"09:30-11:00, wochentags ruhiger";"Nein";"https://exoticanimalworld.co.za/";"-33.80090";"18.87208";"Schmetterlinge gibt es trotz des alten Namens nicht mehr"
"Le Bonheur Krokodilfarm, Babylonstoren Road (R45), Simondium 7670, Südafrika";"Aktivität";"2 | Paarl & Winelands (8.-11. Okt)";"Le Bonheur Krokodilfarm";"Babylonstoren Road (R45)";"Simondium 7670";"4.4";"1814";"Tiere / Wasser";"Teichtour R35-R62 je nach Alter";"1.5-2 Std";"Ja - überwiegend befestigt - Holzstege";"Teichtour ohne Limit; Croc Cage Dive erst ab 9 Jahren";"Alle 45 Minuten eine geführte Runde über die Stege - kurz, geführt, ohne Laufleistung; dazu Spielplatz und Ruderboote";"10:00-11:30, dann Pizza vor Ort";"Nein";"https://lebonheuradventures.co.za/";"-33.81837";"18.94566";"Offene Wasserflächen - Kind durchgehend an der Hand"
"Babylonstoren Farmgarten, Klapmuts-Simondium Road (R45), Simondium 7670, Südafrika";"Aktivität";"2 | Paarl & Winelands (8.-11. Okt)";"Babylonstoren Farmgarten";"Klapmuts-Simondium Road (R45)";"Simondium 7670";"4.5";"919";"Natur / Tiere";"R150 Erw. / Kinder unter 18 GRATIS";"1.5-2 Std";"Nur bedingt - Kieswege, Trage besser";"keines";"Ein essbares Labyrinth aus Obstbäumen, Entenreich und Gemüsebeeten; beim Farm Shop dürfen Kinder die Esel füttern - meist das Highlight";"09:00-11:00 zur Öffnung";"Garten nein, Restaurants ja";"https://babylonstoren.com/visitor-information";"-33.82385";"18.92641";"Nur Kartenzahlung. 25-30 Min. ab eurer Unterkunft"
"Spice Route Destination, Suid-Agter-Paarl Road, Suider-Paarl 7646, Südafrika";"Aktivität";"2 | Paarl & Winelands (8.-11. Okt)";"Spice Route Destination";"Suid-Agter-Paarl Road";"Suider-Paarl 7646";"4.4";"720";"Adventure / Essen";"Eintritt frei, pro Aktivität zahlen";"1.5-2 Std";"Grösstenteils - Gelände liegt am Hang, teils steil";"keines";"Mehrere Spielplätze direkt neben den Restaurantterrassen - Eltern sitzen, Kinder toben. Wickeltisch vorhanden";"09:30-11:30 oder 15:30-17:00";"Nur fürs Essen";"https://www.spiceroute.co.za/";"-33.76406";"18.91955";"Schokoladen-Tasting und Keramikmalen vor Ort"
"Fairview Ziegenturm, Suid-Agter-Paarl Road, Suider-Paarl 7646, Südafrika";"Aktivität";"2 | Paarl & Winelands (8.-11. Okt)";"Fairview Ziegenturm";"Suid-Agter-Paarl Road";"Suider-Paarl 7646";"4.4";"1172";"Tiere";"Ziegenturm gratis";"45-60 Min";"Ja - gepflasterter Innenhof";"keines";"Der spiralförmige Turm mit den hochkletternden Ziegen ist genau das Format für 1- bis 5-Jährige: sofort sichtbar, gratis, keine Geduldsprobe";"09:00-10:30, dann sind die Ziegen am aktivsten";"Turm nein, Restaurant ja";"https://www.fairview.co.za/";"-33.77176";"18.92423";"Im Oktober ist Zickleinsaison - gute Chance auf Jungtiere"
"Vergenoegd Löw Enten-Parade, 1 Vergenoegd Road, ab R310, Faure / Somerset West 7131, Südafrika";"Aktivität";"2 | Paarl & Winelands (8.-11. Okt)";"Vergenoegd Löw Enten-Parade";"1 Vergenoegd Road, ab R310";"Faure / Somerset West 7131";"4.3";"380";"Tiere";"Parade GRATIS";"Parade 15-30 Min";"Ja";"keines";"Über 1000 Laufenten watscheln in geschlossener Kolonne durch das Gut in die Reben - laut, schnell und genau so lang wie die Aufmerksamkeitsspanne";"09:00-Parade (die um 12:00 fällt in die Mittagspause)";"Nein";"https://vergenoegd.co.za/experiences/vergenoegd-low-runner-ducks";"-34.03411";"18.73929";"45-50 Min. Fahrt - der weiteste Punkt. Estate öffnet erst 10:00, vor der Parade also keine Gastronomie"
"Spier Elemental Play Garden, R310 Baden Powell Drive, Stellenbosch 7603, Südafrika";"Aktivität";"2 | Paarl & Winelands (8.-11. Okt)";"Spier Elemental Play Garden";"R310 Baden Powell Drive";"Stellenbosch 7603";"4.3";"1235";"Wasser / Natur";"Geländezugang frei";"2-3 Std, kürzbar";"Ja - asphaltierte Wege, Wickelmöglichkeit";"keines für Spielgarten; Segway ab 10";"Spielgarten in vier Zonen mit Wasserlauf und Mosaik-Wasserspiel - die beste Wasseroption für ein 4-jähriges Kind ohne Poolrisiko";"10:00-12:00";"Nur Picknick";"https://www.spier.co.za/";"-33.97172";"18.78424";"Wasserspiele sind wetterabhängig, Anfang Oktober noch kühl - Wechselkleidung"
"Bugz Family Playpark, 56 Tarentaal Road, Joostenbergvlakte, Kraaifontein 7570, Südafrika";"Aktivität";"2 | Paarl & Winelands (8.-11. Okt)";"Bugz Family Playpark";"56 Tarentaal Road, Joostenbergvlakte";"Kraaifontein 7570";"4.5";"269";"Adventure / Wasser";"Kind 3-12 R190 / unter 3 GRATIS / Erwachsene R60";"2-3 Std";"Ja";"Fahrgeschäfte 3-12; unter 3 nutzen Softplay, Streichelzoo und Wasserbereich gratis";"Grösster Spielpark der Westkap mit Streichelzoo, Softplay und Wasserbereich; jede Station ist mit passendem Alter beschildert";"10:00-12:00 (Fahrgeschäfte 10-16)";"Nein, nur Kasse";"https://www.bugzplaypark.co.za/park-info";"-33.83325";"18.73631";"Fahrgeschäfte laufen primär am Wochenende - also Sa 10.10. oder So 11.10. Mitgebrachtes Essen nicht erlaubt"
"Paarl Mountain Nature Reserve, Jan Phillips Mountain Drive, Paarl, Südafrika";"Aktivität";"2 | Paarl & Winelands (8.-11. Okt)";"Paarl Mountain Nature Reserve";"Jan Phillips Mountain Drive";"Paarl";"4.6";"207";"Natur";"Werktags GRATIS / Wochenende R30 p.P.";"1-2 Std";"Nein auf den Wegen - aber 25 km befahrbare Strassen zu den Picknickplätzen";"keines";"Drei Picknickplätze mit Toiletten, ein Damm mit Vögeln und riesige Granitkuppen - die kostenlose Natur-Dosis 15 Min. von der Unterkunft";"08:00-10:00 oder 16:30-18:00";"Nein";"https://www.paarlonline.com/";"-33.73271";"18.94272";"Bretagne Rock und Gordon's Rock sind ungesicherte Kletterei - nicht mit Kindern"
"Afrikaanse Taalmonument, Gabbema Doordrift Street, Paarl 7646, Südafrika";"Aktivität";"2 | Paarl & Winelands (8.-11. Okt)";"Afrikaanse Taalmonument";"Gabbema Doordrift Street";"Paarl 7646";"4.3";"458";"Natur / Aussicht";"R40 Erw.";"45-60 Min";"Ja - der bequemste Aussichtspunkt der Gegend";"keines";"Grosse offene Rasenflächen mit Blick bis zum Tafelberg, Bänke und Picknickplätze - Kinder können frei laufen";"Früher Morgen oder später Nachmittag";"Nein";"https://taalmuseum.co.za/";"-33.76577";"18.94250";"Café und Toiletten vorhanden"
"Hermanus Cliff Path (Gearing's Point), Gearing's Point, 71 Marine Drive, Hermanus 7200, Südafrika";"Aktivität";"3 | Whale Coast (11.-14. Okt)";"Hermanus Cliff Path (Gearing's Point)";"Gearing's Point, 71 Marine Drive";"Hermanus 7200";"4.5";"23";"Tiere / Natur";"GRATIS";"45-90 Min";"Ja auf dem flachen Stadtabschnitt";"keines";"Die Wale kommen hier oft auf 20-50 m an die Felsen - Kinder sehen sie ohne Boot, ohne Seekrankheit, und man kann jederzeit abbrechen";"08:30-11:00, ruhige See, wenig Wind";"Nein";"https://www.hermanus.co.za/popular-activities/whale-watching/";"-34.42215";"19.24393";"Ungesicherte Steilkante. Weitere Top-Punkte per Auto: Sievers Point (-34.41063/19.26425) und Kwaaiwater"
"Stony Point Pinguinkolonie, 2411 Wallers Road, Betty's Bay 7141, Südafrika";"Aktivität";"3 | Whale Coast (11.-14. Okt)";"Stony Point Pinguinkolonie";"2411 Wallers Road";"Betty's Bay 7141";"4.7";"983";"Tiere";"R45 Erw. / R30 Kind 4-17 / unter 4 gratis";"45-90 Min";"Ja mit Einschränkung - Holz-Boardwalk";"keines";"Brillenpinguine watscheln teils direkt neben dem Steg - die verlässlichste Tierbegegnung der Küste";"09:00-11:00, ab 14:00 sehr windig";"Nein";"https://www.capenature.co.za/reserves/stony-point-nature-reserve";"-34.37183";"18.89407";"1:35-1:45 h ab Stanford. TIPP: besser auf der Anfahrt von Paarl über die R44 einbauen statt als Tagestour"
"Harold Porter Botanical Garden, Ecke Clarence Drive (R44) & Broadwith Road, Betty's Bay 7141, Südafrika";"Aktivität";"3 | Whale Coast (11.-14. Okt)";"Harold Porter Botanical Garden";"Ecke Clarence Drive (R44) & Broadwith Road";"Betty's Bay 7141";"4.7";"2340";"Natur";"R30 Erw. / Kinder unter 6 GRATIS";"1-2 Std";"Ja für unteren Garten und Disa-Trail";"keines";"Kurze ebene Rasen- und Teichwege, Zuckervögel in Reichweite, Café mit Milchshakes - der ruhige Gegenpol zum Pinguin-Trubel 4 km weiter";"09:30-11:30, Oktober ist Blütehöhepunkt";"Nein";"https://www.sanbi.org/gardens/harold-porter";"-34.35176";"18.92690";"Zigzag- und Oudebosch-Trail sind gesperrt"
"Fernkloof Nature Reserve, Fir Avenue, Hermanus 7200, Südafrika";"Aktivität";"3 | Whale Coast (11.-14. Okt)";"Fernkloof Nature Reserve";"Fir Avenue";"Hermanus 7200";"4.7";"1503";"Natur";"GRATIS";"45-75 Min";"Ja für die angelegten Gartenwege";"keines";"Gratis, 10 Min. vom Cliff Path, mit Picknickplatz, Teich und Vögeln - der ideale Ein-Stunden-Füller vor der Mittagspause";"Morgens, im Oktober blüht der Fynbos maximal";"Nein";"https://www.fernkloof.org.za/";"-34.39453";"19.26589";"Nur die unteren Gärten - nicht die 50 km Bergtrails"
"Grotto Beach + Lagune, Grotto Street, Voelklip, Hermanus 7200, Südafrika";"Aktivität";"3 | Whale Coast (11.-14. Okt)";"Grotto Beach + Lagune";"Grotto Street";"Voelklip, Hermanus 7200";"4.6";"928";"Strand / Wasser";"GRATIS";"1-2 Std";"Bis zur Strandkante ja, im Sand nein";"keines";"Einziger Blue-Flag-Strand der Gegend mit Spielplatz, Braai-Plätzen und Duschen; die Lagune an der Flussmündung ist flach, ruhig und wärmer als das Meer";"09:00-11:30, nachmittags Wind";"Nein";"https://www.hermanus.co.za/nature/beaches";"-34.41508";"19.28899";"Kinder NUR in die Lagune - das offene Meer hat Brandung und Rippströmungen. Im Oktober keine garantierte Rettungsschwimmer-Präsenz"
"Lady Stanford Bootsfahrt Klein River, Jetty Ecke Du Toit St / Church St, Stanford 7210, Südafrika";"Aktivität";"3 | Whale Coast (11.-14. Okt)";"Lady Stanford Bootsfahrt Klein River";"Jetty Ecke Du Toit St / Church St";"Stanford 7210";"4.8";"22";"Natur / Tiere";"R280 p.P., Mindestumsatz R1120";"ca. 2 Std";"Nein an Bord, Zuweg eben";"MINDESTALTER 0 - offiziell keine Grenze";"Flusswasser statt Seegang: kein Wellenschlag, keine Seekrankheit. Zwei Decks, Bord-Toilette, flache Badestelle. Fischadler, Blaukraniche und Flamingos aus der Nähe";"10:30-Abfahrt oder 15:30 nach der Mittagspause";"Zwingend, Tel. 066 374 9386";"https://ladystanford.activitar.com";"-34.43856";"19.45686";"Die einzige geprüfte Bootsoption ohne Altersgrenze. Startet 4 km von eurer Unterkunft"
"De Kelders Klippenpfad, De Kelders Gate, Walker Bay Nature Reserve, De Kelders, Gansbaai 7220, Südafrika";"Aktivität";"3 | Whale Coast (11.-14. Okt)";"De Kelders Klippenpfad";"De Kelders Gate, Walker Bay Nature Reserve";"De Kelders, Gansbaai 7220";"4.6";"57";"Natur";"R65 Erw. / R45 Kind 4-17";"30-45 Min für den oberen Pfad";"Oberer Pfad teilweise ja";"Höhle faktisch ab 6 Jahren";"Der beste Landbeobachtungspunkt der Küste für Mutter-Kalb-Paare - die Bucht ist windgeschützt, die Wale liegen im Oktober oft direkt unterhalb";"08:00-10:30 an einem trockenen Tag";"Nein";"https://www.capenature.co.za/reserves/walker-bay-nature-reserve";"-34.54635";"19.37873";"Klipgat-Höhle: ca. 205 Stufen - mit Kind nicht machbar. Nur der obere Pfad. 26-30 Min. ab Stanford"
"Platbos Forest, Grootbos Road, Abzweig R43, Gansbaai 7220, Südafrika";"Aktivität";"3 | Whale Coast (11.-14. Okt)";"Platbos Forest";"Grootbos Road, Abzweig R43";"Gansbaai 7220";"4.7";"168";"Natur / Regenwetter";"R50 Erw. / R20 Kind (Ehrlichkeitskasse)";"30-40 Min Teilstrecke möglich";"Nein - Waldboden mit Wurzeln, Trage";"keines";"Weicher Waldboden, tiefer Schatten und 1000 Jahre alte Milkwood-Bäume - ein Elfenwald ohne Klippen, Verkehr oder Wasser";"Nachmittag 14:30-16:30, im Wald bleibt es kühl";"Nein";"https://platbos.co.za/the-forest-trail";"-34.56832";"19.44790";"Toiletten unbestätigt - vorher planen. Keine Hunde"
"Kleinmond Strand & Lagune, 19 Strand Street, Kleinmond 7195, Südafrika";"Aktivität";"3 | Whale Coast (11.-14. Okt)";"Kleinmond Strand & Lagune";"19 Strand Street";"Kleinmond 7195";"4.3";"59";"Strand / Wasser";"GRATIS";"1-2 Std";"Ja auf Rasen und Promenade";"keines";"Die Süsswasser-Lagune ist flach und warm zum Planschen, dazu Klettergerüst auf dem Rasen, Picknickbänke, Eisstand und Kanuverleih";"Vormittag, nachmittags sehr windig";"Nein";"https://xplorio.com/kleinmond";"-34.34412";"19.03009";"1:05 h ab Stanford - gut als Stopp auf der Rückfahrt von Betty's Bay. 500 m weiter: Rooisand mit wilden Pferden und flachem Pfad"
"Stanford Hills Estate, Weltevrede Farm, Stanford Hills Road, Stanford 7210, Südafrika";"Aktivität";"3 | Whale Coast (11.-14. Okt)";"Stanford Hills Estate";"Weltevrede Farm, Stanford Hills Road";"Stanford 7210";"4.2";"43";"Tiere / Essen";"Kein Eintritt";"1.5-2.5 Std";"Ja - Rasen und ebene Terrasse";"keines";"Grosse Rasenfläche zum Toben, Enten und ein zahmes Schwein namens Crackling, kleiner Teich mit Ruderbooten - 8 Min. von eurer Unterkunft";"Mittagessen 12:00-14:00, Kind schläft danach im Auto";"Empfohlen";"https://stanfordhills.co.za/";"-34.42254";"19.47420";"Offener Farm-Teich ohne Zaun - Kinder nie unbeaufsichtigt"
"Whale of a Time Play Park, Hermanus, Hermanus 7200, Südafrika";"Aktivität";"3 | Whale Coast (11.-14. Okt)";"Whale of a Time Play Park";"Hermanus";"Hermanus 7200";"";"";"Regenwetter / Spielplatz";"unbestätigt";"1-2 Std";"Ja";"eigene Bereiche für kleinere Kinder";"Moderner Indoor- und Outdoor-Spielpark mit Kletterelementen, Trampolinen und Rutschen; Erwachsene sitzen im angeschlossenen Restaurant";"Regentag";"Nein";"https://whaleofatimeplay.co.za/";"-34.4180";"19.2350";"Tipp aus eurem Schlechtwetter-PDF - Bewertung nicht geprüft"
"Melozhori Game Drive, R317, Stormsvlei, Stormsvlei 6730, Südafrika";"Aktivität";"4 | Melozhori & Route 62 (14.-16. Okt)";"Melozhori Game Drive";"R317, Stormsvlei";"Stormsvlei 6730";"";"";"Tiere";"1 Fahrt bei 2+ Nächten INKLUSIVE, weitere R500 p.P.";"ca. 2-2.5 Std";"Nein - offener Safari-Wagen";"von Melozhori nicht publiziert - vorab klären!";"Raubtierfreies und malariafreies Reservat mit 38 Wildarten - Kinder sitzen bei den Eltern, keine Löwen, und man kann jederzeit abbrechen";"Nachmittags ca. 16:00-18:00, nach der Mittagspause";"Bei Anreise fixieren";"https://www.melozhori.co.za/";"-34.03703";"20.08720";"Mindestalter unbedingt vorab per Mail klären: info@melozhori.co.za / +27 66 595 7823"
